letter,frequency
ЃХ,2.58732212160414
ХЉ,2.1561017680034498
ЉХ,2.026735661923243
ХЃ,1.5092712376024149
ЧХ,1.5092712376024149
ЌЉ,1.423027166882277
ХИ,1.336783096162139
ЃП,1.29366106080207
ЖХ,1.250539025442001
ХУ,1.250539025442001
ИХ,1.250539025442001
ЉЌ,1.1211729193617939
СХ,1.0780508840017249
УД,1.034928848641656
ЃЌ,0.9918068132815868
ТХ,0.9486847779215178
ИЌ,0.9486847779215178
ЌЖ,0.9486847779215178
ПЉ,0.9486847779215178
ЧД,0.9055627425614489
ДЃ,0.9055627425614489
СЌ,0.9055627425614489
ПУ,0.9055627425614489
ЉД,0.9055627425614489
ЃД,0.9055627425614489
ЉП,0.9055627425614489
ЦП,0.8624407072013798
ХТ,0.8624407072013798
ХЖ,0.8624407072013798
УЉ,0.8624407072013798
ПЃ,0.8624407072013798
ЛЌ,0.8193186718413108
ЌУ,0.8193186718413108
НХ,0.733074601121173
ХЕ,0.733074601121173
ЦХ,0.733074601121173
ДЖ,0.689952565761104
ЌЃ,0.689952565761104
ХЦ,0.689952565761104
ЌР,0.689952565761104
ЛЧ,0.689952565761104
ДУ,0.646830530401035
ДТ,0.646830530401035
ХС,0.646830530401035
ЕЌ,0.646830530401035
ПИ,0.603708495040966
ДС,0.603708495040966
РХ,0.603708495040966
ХЧ,0.5605864596808969
ЧЌ,0.5605864596808969
ЈС,0.5605864596808969
ХН,0.5605864596808969
ЖЌ,0.5605864596808969
УИ,0.5605864596808969
ПЧ,0.5605864596808969
ЌЧ,0.5605864596808969
ХВ,0.5605864596808969
ВЉ,0.5605864596808969
ПЦ,0.5605864596808969
ИД,0.517464424320828
ЕП,0.517464424320828
ХП,0.517464424320828
ПЕ,0.517464424320828
ХЛ,0.4743423889607589
ЌЦ,0.4743423889607589
ДВ,0.4743423889607589
ПН,0.4743423889607589
ИЈ,0.4743423889607589
ТП,0.4743423889607589
ДЧ,0.4312203536006899
УЌ,0.4312203536006899
ЌЛ,0.4312203536006899
ЦД,0.4312203536006899
ЕХ,0.4312203536006899
ПЏ,0.4312203536006899
ДИ,0.4312203536006899
ЉС,0.4312203536006899
ЖЃ,0.4312203536006899
ЗД,0.4312203536006899
ДЛ,0.4312203536006899
ЌС,0.4312203536006899
ЧП,0.4312203536006899
ХР,0.4312203536006899
ДЦ,0.38809831824062097
ОП,0.38809831824062097
ДР,0.38809831824062097
ХХ,0.38809831824062097
УП,0.38809831824062097
ХЏ,0.38809831824062097
ДЕ,0.38809831824062097
ЗЌ,0.38809831824062097
ЏД,0.38809831824062097
ЉЧ,0.344976282880552
ЌЕ,0.344976282880552
СД,0.344976282880552
ЌЗ,0.344976282880552
ТД,0.344976282880552
СП,0.344976282880552
УЦ,0.301854247520483
ЗХ,0.301854247520483
ЖД,0.301854247520483
ЉЃ,0.301854247520483
ХК,0.301854247520483
ДЉ,0.301854247520483
ХД,0.301854247520483
ЕЧ,0.301854247520483
ВД,0.301854247520483
ПЛ,0.301854247520483
ЌН,0.301854247520483
ЌП,0.301854247520483
ЌИ,0.301854247520483
ЧЦ,0.301854247520483
ЏЃ,0.258732212160414
ЦЌ,0.258732212160414
ПД,0.258732212160414
ПО,0.258732212160414
ЗП,0.258732212160414
ПЗ,0.258732212160414
КХ,0.258732212160414
ЦЃ,0.258732212160414
РЈ,0.258732212160414
ЈЃ,0.258732212160414
НП,0.258732212160414
ПЖ,0.258732212160414
ЌТ,0.258732212160414
ЖП,0.258732212160414
ЖЧ,0.258732212160414
ПС,0.258732212160414
ЌЏ,0.21561017680034494
УЃ,0.21561017680034494
ЗЧ,0.21561017680034494
ПТ,0.21561017680034494
КП,0.21561017680034494
ДП,0.21561017680034494
УХ,0.21561017680034494
СЧ,0.21561017680034494
ДН,0.21561017680034494
ЛХ,0.21561017680034494
ЈЗ,0.21561017680034494
ЉЛ,0.21561017680034494
НЖ,0.21561017680034494
ЉЉ,0.21561017680034494
УТ,0.21561017680034494
ХЗ,0.21561017680034494
ДЌ,0.21561017680034494
ИЧ,0.21561017680034494
ЧЖ,0.172488141440276
ЃУ,0.172488141440276
ИП,0.172488141440276
ДД,0.172488141440276
РУ,0.172488141440276
ЛП,0.172488141440276
